Number_of_Vehicles,Accident_Key,Number_of_Casualties,District,Accident_Severity,Month,Year,Day,Time,Junction_Type,Junction_Control,Collision_Type,Road_Type,Weather,Light_Conditions,Road_Character,Surface_Type,Road_Condition,Surface_Condition,Roadworks,Hit_Run,X_Coordinate,Y_Coordinate,longitude,latitude
1,721,1,Moka,Slight,Feb,2003,Thu,02:30,Not a junction,Not a junc,Ran off road,One way,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,No,562449,7761221,57.59792167,-20.24565833
2,723,1,Moka,Slight,Feb,2003,Fri,16:45,Not a junction,Not a junc,Rear end,One way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,562397,7761157,57.59742602,-20.24623833
2,733,2,Flacq,Fatal,Jan,2003,Sat,09:20,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,577572,7757791,57.74285694,-20.27609741
2,734,1,Flacq,Slight,Feb,2003,Mon,23:00,Not a junction,Not a junc,Side swipe,Two way,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,Yes,578781,7760603,57.75431123,-20.25063974
2,735,1,Flacq,Slight,Feb,2003,Fri,06:50,T junction,Give way or marking,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,578493,7761171,57.75152918,-20.24551933
1,736,1,Flacq,Slight,Feb,2003,Mon,18:00,Roundabout,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,579716,7759245,57.76332303,-20.26287139
2,744,1,Port Louis,Serious,Nov,2003,Sat,13:30,Cross,Stop sign,Head On,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552340,7770059,57.50087998,-20.1661002
1,748,2,Port Louis,Slight,Jan,2003,Tue,22:50,T junction,Give way or marking,Hit object off road,One way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,550050,7769525,57.4789806,-20.17098653
1,749,1,Port Louis,Serious,Jan,2003,Tue,16:15,T junction,Stop sign,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549485,7769144,57.47358406,-20.17444395
2,750,1,Port Louis,Serious,Jan,2003,Thu,07:30,Cross,Traffic signal,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552714,7769670,57.50447026,-20.16960504
1,753,1,Port Louis,Slight,Feb,2003,Fri,07:55,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,550293,7769648,57.48130265,-20.16986873
1,813,1,R Rempart,Slight,Jan,2003,Mon,10:15,Roundabout,Give way or marking,Ran off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,566151,7777753,57.63276234,-20.09615147
2,814,1,R Rempart,Slight,Jan,2003,Mon,15:30,Not a junction,Not a junc,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567161,7782157,57.64226087,-20.05632186
2,815,1,R Rempart,Serious,Feb,2003,Thu,18:35,Not a junction,Not a junc,Head On,Two way,Fair,Dawn/dusk,Curve only,Asphalt,Good,Dry,No,No,565215,7778420,57.62378564,-20.09015629
2,824,3,Black River,Serious,Mar,2003,Tue,22:40,Not a junction,Not a junc,Head On,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,544675,7764066,57.42767739,-20.22044783
1,833,1,R Rempart,Slight,Jan,2003,Thu,19:30,Not a junction,Not a junc,Hit object off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,568877,7783530,57.65861844,-20.043855
2,834,1,R Rempart,Slight,Jan,2003,Tue,11:00,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,568532,7783811,57.65530909,-20.04132813
2,839,1,R Rempart,Slight,Feb,2003,Sat,11:15,Cross,Stop sign,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567253,7784795,57.64304358,-20.0324815
3,844,2,R Rempart,Slight,Mar,2003,Sat,05:25,Not a junction,Not a junc,Head On,Two way,Fair,Darkness:street lights present but unlit,Straight+Flat,Asphalt,Good,Dry,No,No,569902,7784847,57.6683689,-20.03191779
1,845,1,Pamplemousses,Serious,Jan,2003,Fri,13:05,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,555430,7774389,57.53031745,-20.12688703
2,846,1,Pamplemousses,Serious,Jan,2003,Sat,06:30,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,555558,7774901,57.53152639,-20.12225683
2,847,1,Pamplemousses,Fatal,Jan,2003,Fri,08:50,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554263,7774133,57.51916035,-20.12923353
2,863,1,R Rempart,Slight,Feb,2003,Sat,23:15,Not a junction,Not a junc,Head On,Two way,Fair,Darkness:no street lighting,Curve only,Asphalt,Good,Dry,Yes,No,562824,7786321,57.60064486,-20.01884112
1,864,1,R Rempart,Slight,Feb,2003,Wed,18:35,Not a junction,Not a junc,Other,Two way,Rain,Dawn/dusk,Straight+Flat,Asphalt,Good,Wet,No,No,561153,7787000,57.58464679,-20.01275901
1,865,1,R Rempart,Slight,Feb,2003,Sat,01:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness:street lights present but unlit,Straight+Flat,Asphalt,Good,Dry,No,No,562177,7789453,57.59435304,-19.99056063
2,866,1,R Rempart,Slight,Feb,2003,Sat,15:02,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,562309,7789600,57.59560979,-19.98922807
2,867,1,R Rempart,Slight,Mar,2003,Mon,19:10,Not a junction,Not a junc,Side swipe,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,561055,7788372,57.5836642,-20.00036442
1,868,1,R Rempart,Serious,Mar,2003,Sun,06:25,Not a junction,Not a junc,Ran off road,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,564380,7789245,57.61541803,-19.99236831
